count,ingredient,normalized
35100,salt,
21696,olive oil,
20950,butter,
20065,all-purpose flour,flour
18457,water,
16220,white sugar,sugar
16146,sugar,
13123,vanilla extract,
13072,eggs,egg
12018,vegetable oil,
11026,milk,
9272,cloves garlic,garlic
8661,ground cinnamon,cinnamon
8296,baking powder,
7671,unsalted butter,butter
7253,baking soda,
6549,egg,
6351,onion,
6127,ground black pepper,pepper
6081,garlic cloves,garlic
5819,lemon juice,
5628,fresh lemon juice,lemon juice
5451,extra-virgin olive oil,olive oil
5007,honey,
4962,large eggs,egg
4678,brown sugar,sugar
4512,salt and freshly ground black pepper,pepper
4293,soy sauce,
4224,ground cumin,
4140,sour cream,
4066,garlic powder,
4021,cornstarch,
3943,mayonnaise,
3813,salt and pepper to taste,pepper
3798,butter or margarine,butter
3743,grated Parmesan cheese,
3646,clove garlic,garlic
3592,confectioners' sugar,sugar
3512,packed brown sugar,sugar
3413,kosher salt,salt
3361,lemon,
3356,heavy cream,
3343,chopped onion,onion
3257,chopped fresh parsley,parsley
3230,pepper,
3205,garlic clove,garlic
3139,dried oregano,oregano
3088,shredded Cheddar cheese,Cheddar cheese
3059,salt and ground black pepper to taste,pepper
3052,ground nutmeg,
2979,Worcestershire sauce,
2928,Dijon mustard,
2773,freshly ground black pepper,pepper
2747,large onion,onion
2720,chicken broth,
2707,black pepper,pepper
2701,minced garlic,garlic
2655,chili powder,
2595,ground ginger,
2514,small onion,onion
2499,fresh lime juice,lime juice
2477,chopped fresh cilantro,cilantro
2464,medium onion,onion
2461,paprika,
2457,chopped walnuts,walnut
2348,cayenne pepper,
2331,package cream cheese,cream cheese
2323,dry white wine,white wine
2315,skinless,
2269,orange juice,
2252,ground beef,
2226,balsamic vinegar,
2187,green onions,
2099,pinch salt,salt
2098,all purpose flour,flour
2082,whole milk,milk
2055,raisins,raisin
2029,chopped pecans,
2010,canola oil,vegetable oil
1994,carrots,
1975,large egg,egg
1971,granulated sugar,sugar
1947,shortening,
1924,dried thyme,
1904,salt to taste,salt
1791,dried basil,
1780,red bell pepper,
1775,whipping cream,heavy cream
1759,red wine vinegar,
1755,buttermilk,
1724,ground cloves,
1715,unsweetened cocoa powder,
1672,heavy whipping cream,heavy cream
1663,ketchup,
1644,bay leaf,
1630,semisweet chocolate chips,
1603,Kosher salt,salt
1580,lime,
1579,green bell pepper,
1562,vanilla,vanilla extract
1531,egg whites,egg
1530,lime juice,
1500,cold water,water
1457,bay leaves,bay leaf
1449,shredded mozzarella cheese,
1441,cider vinegar,
1434,margarine,
1428,extra virgin olive oil,olive oil
1409,boiling water,water
1400,curry powder,
1382,onion powder,
1355,red onion,
1344,onions,onion
1329,almond extract,
1328,large garlic cloves,garlic
1324,egg yolks,egg
1288,free-range eggs,egg
1276,ground allspice,
1272,white wine vinegar,
1259,large egg yolks,egg
1243,slices bacon,
1237,chopped celery,celery
1225,chopped fresh basil,
1213,stalks celery,celery
1143,lean ground beef,ground beef
1124,flour,
1104,sesame oil,
1097,powdered sugar,sugar
1090,ground black pepper to taste,pepper
1090,cooking spray,
1083,grated lemon peel,lemon
1077,sesame seeds,
1074,light corn syrup,
1063,potatoes,potato
1062,cream cheese,
1044,tomatoes,tomato
1039,ground coriander,
1038,tomato paste,
1027,peanut butter,
1025,whole wheat flour,flour
1002,can diced tomatoes,
990,flaked coconut,
975,white wine,
975,g/1oz butter,butter
967,garlic salt,
965,rolled oats,
963,finely chopped onion,onion
955,chopped fresh chives,chives
951,chopped fresh thyme,
949,stick  unsalted butter,butter
945,cinnamon,
943,carrot,
933,sea salt,salt
928,tsp salt,salt
902,packages cream cheese,cream cheese
902,can tomato sauce,tomato sauce
895,ice cubes,water
889,red pepper flakes,
888,shallots,
877,distilled white vinegar,white vinegar
868,apple cider vinegar,cider vinegar
867,hot water,water
866,scallions,green onion
854,cherry tomatoes,
853,crushed red pepper flakes,red pepper flakes
847,maple syrup,
839,warm water ,water
837,grated orange peel,orange
836,dried parsley,
830,Italian seasoning,
829,orange,
828,Salt,salt
805,white vinegar,
804,melted butter,butter
800,chopped green onions,green onion
797,pine nuts,pine nut
794,cream of tartar,
793,ground turmeric,
788,whole cloves,
776,molasses,
775,flour tortillas,flour tortilla
768,golden brown sugar,sugar
763,chicken stock,chicken broth
763,shallot,
755,minced fresh parsley,parsley
750,small red onion,
748,sliced almonds,
739,Freshly ground black pepper,
731,dry mustard,pepper
730,plain yogurt,
725,can sweetened condensed milk,
715,dry bread crumbs,
712,chopped fresh dill,
711,rice vinegar,
708,hot pepper sauce,
708,chopped fresh mint,
706,lemons,lemon
706,zucchini,
703,Salt and pepper,salt
701,fresh orange juice,
701,free-range egg,
688,dried rosemary,
679,packed light brown sugar,
678,active dry yeast,
677,chopped fresh rosemary,
673,large egg whites,
671,light brown sugar,
669,can condensed cream of mushroom soup,mushroom soup
669,crumbled feta cheese,
665,dark brown sugar,sugar
661,chilled unsalted butter,
654,SPLENDA® No Calorie Sweetener,
653,egg white,
650,oil,
647,cinnamon stick,cinnamon
645,pinch cayenne pepper,
641,can black beans,
639,pure vanilla extract,
638,vinegar,
637,freshly grated Parmesan cheese,
636,tomato,
634,cumin seeds,
630,golden raisins,
629,dried cranberries,
625,sliced fresh mushrooms,
621,ground cardamom,
619,bread flour,
619,half-and-half,
614,lemon zest,
609,cornmeal,
608,minced onion,
607,Nonstick vegetable oil spray,
606,large onions,
605,brandy,
601,egg yolk,
593,low-salt chicken broth,chicken broth
587,warm water,
575,boneless,
573,dry red wine,
570,freshly ground pepper,
561,medium onions,onion
554,Salt and freshly ground pepper,pepper
550,limes,
549,jalapeno pepper,
549,beef broth,
548,shredded Monterey Jack cheese,
546,fresh mushrooms,mushroom
543,capers,
541,fennel seeds,
538,vanilla bean,
534,can crushed pineapple,pineapple
530,canned low-salt chicken broth,chicken broth
528,slivered almonds,
527,medium carrots,
526,chopped red onion,
525,chopped green bell pepper,
525,seasoned salt,
523,shredded sharp Cheddar cheese,
522,black peppercorns,
520,evaporated milk,
518,plum tomatoes,
514,can tomato paste,
509,prepared mustard,
509,red wine,
507,graham cracker crumbs,
506,large garlic clove,
504,stalk celery,celery
503,spring onions,
502,mushrooms,
500,fresh basil leaves,
499,fish sauce,
498,coarse kosher salt,
494,Pinch of salt,
492,walnuts,
492,icing sugar,sugar
491,cake flour,flour
488,salsa,
487,vegetable broth,
487,caster sugar,
485,pumpkin pie spice,
485,freshly grated nutmeg,
482,bacon,
480,cucumber,
475,firmly packed brown sugar,
475,large carrots,
472,chopped garlic,
472,g/2oz butter,
469,container frozen whipped topping,
468,whole black peppercorns,
467,can evaporated milk,
466,free-range egg yolks,
465,can condensed cream of chicken soup,
462,fresh blueberries,
462,can whole kernel corn,
461,cayenne,
460,diced onion,
460,sprigs fresh thyme,
459,chopped cilantro,
457,dried crushed red pepper,
455,shredded Swiss cheese,
454,banana,
453,dark rum,
453,frozen peas,
453,red-wine vinegar,
452,prepared horseradish,
450,yellow cornmeal,
450,celery ribs,celery
449,coarse salt,
446,large egg yolk,
445,coriander seeds,
